datetime,BTCUSDT_close,ETHUSDT_close,XRPUSDT_close,SOLUSDT_close,DOGEUSDT_close
2020-01-31 23:00:00,9352.89,179.99,0.23946,,0.0023776
2020-02-01 00:00:00,9383.07,181.09,0.24097,,0.0023883
2020-02-01 01:00:00,9429.86,183.76,0.24265,,0.0023995
2020-02-01 02:00:00,9441.88,183.88,0.24251,,0.00241
2020-02-01 03:00:00,9432.33,183.51,0.24175,,0.0024008
2020-02-01 04:00:00,9401.42,181.95,0.2409,,0.0024027
2020-02-01 05:00:00,9381.12,181.51,0.24016,,0.002398
2020-02-01 06:00:00,9398.01,182.07,0.24098,,0.0024091
2020-02-01 07:00:00,9423.01,183.13,0.2415,,0.002405
2020-02-01 08:00:00,9384.62,181.19,0.23999,,0.0024006
2020-02-01 09:00:00,9387.87,181.34,0.23982,,0.0024034
2020-02-01 10:00:00,9379.55,181.32,0.24041,,0.0023896
2020-02-01 11:00:00,9354.66,180.94,0.23814,,0.0023868
2020-02-01 12:00:00,9312.06,180.08,0.2379,,0.0023831
2020-02-01 13:00:00,9345.35,181.94,0.23986,,0.0023868
2020-02-01 14:00:00,9350.08,181.87,0.23938,,0.0023866
2020-02-01 15:00:00,9333.91,181.48,0.23876,,0.0023873
2020-02-01 16:00:00,9405.8,183.5,0.24059,,0.0023993
2020-02-01 17:00:00,9381.48,182.94,0.23972,,0.0023979
2020-02-01 18:00:00,9390.3,183.4,0.24117,,0.0024023
2020-02-01 19:00:00,9367.09,182.81,0.24101,,0.0024085
2020-02-01 20:00:00,9381.43,183.4,0.24088,,0.0023992
2020-02-01 21:00:00,9379.99,182.79,0.2418,,0.0024074
2020-02-01 22:00:00,9377.87,183.06,0.24174,,0.0024094
2020-02-01 23:00:00,9384.61,183.6,0.24141,,0.002417
2020-02-02 00:00:00,9328.49,181.56,0.23883,,0.0024099
2020-02-02 01:00:00,9336.43,181.95,0.2389,,0.0024104
2020-02-02 02:00:00,9267.83,180.52,0.23744,,0.0024154
2020-02-02 03:00:00,9266.83,180.58,0.23753,,0.0024183
2020-02-02 04:00:00,9322.33,181.85,0.23909,,0.0024191
2020-02-02 05:00:00,9311.43,181.92,0.24071,,0.0024206
2020-02-02 06:00:00,9361.09,186.04,0.24199,,0.0024327
2020-02-02 07:00:00,9370.53,187.17,0.2418,,0.0024435
2020-02-02 08:00:00,9368.06,187.3,0.24151,,0.0024475
2020-02-02 09:00:00,9380.6,188.83,0.24766,,0.0024444
2020-02-02 10:00:00,9423.35,190.77,0.25047,,0.0024614
2020-02-02 11:00:00,9435.54,191.71,0.25484,,0.0024722
2020-02-02 12:00:00,9421.8,191.05,0.256,,0.0024694
2020-02-02 13:00:00,9421.99,190.74,0.25591,,0.002477
2020-02-02 14:00:00,9446.86,191.58,0.25708,,0.002479
2020-02-02 15:00:00,9446.77,192.49,0.25669,,0.0024886
